name,comm_cost,complexity,type
explored-588,0.5341535480454459,14,explored
explored-589,0.33561404775659565,18,explored
explored-590,0.4375890621991143,15,explored
explored-591,0.4020925604981065,11,explored
explored-592,0.26154498844598506,20,explored
explored-593,0.3000553629886388,17,explored
explored-594,0.558600519930676,7,explored
explored-595,0.39973281340265754,19,explored
explored-596,0.2087625970858209,26,explored
explored-597,0.29254625617818875,31,explored
explored-598,0.21658362218370897,31,explored
explored-599,0.23952917388792616,22,explored
explored-600,0.7401429809358753,6,explored
explored-601,0.26929580685538235,19,explored
explored-602,0.2640814558058927,23,explored
explored-603,0.09755921432697878,22,explored
explored-604,0.2843731946851532,17,explored
explored-605,0.32415270556518405,16,explored
explored-606,0.3513503755054883,14,explored
explored-607,0.42891873676102454,10,explored
explored-608,0.3593298671288274,13,explored
explored-609,0.2693289042942424,14,explored
explored-610,0.7837473522048912,12,explored
explored-611,0.24278656364336626,22,explored
explored-612,0.3939919121894859,11,explored
explored-613,0.37711221837088416,9,explored
explored-614,0.6103679231658002,13,explored
explored-615,0.43268061172090655,41,explored
explored-616,0.36448404101675347,20,explored
explored-617,0.3462052281917968,28,explored
explored-618,0.29578880223377635,18,explored
explored-619,0.251811332563066,40,explored
explored-620,0.3455944300019258,15,explored
explored-621,0.2591348931253612,15,explored
explored-622,0.31475062584248037,13,explored
explored-623,0.2968118139803583,20,explored
explored-624,0.3284549714359074,11,explored
explored-625,0.48753129212401314,10,explored
explored-626,0.353805603697285,14,explored
explored-627,0.5861857307914501,18,explored
explored-628,0.7354010206046602,6,explored
explored-629,0.4854226843828232,13,explored
explored-630,0.2961558829193146,14,explored
explored-631,0.27379404968226473,19,explored
explored-632,0.4261878971692664,8,explored
explored-633,0.37112057898453066,19,explored
explored-634,0.39584536876564624,13,explored
explored-635,0.21434101996277055,19,explored
explored-636,0.29579782880801087,21,explored
explored-637,0.2017619872905837,26,explored
explored-638,0.1978946017074269,10,explored
explored-639,0.4336637059503179,9,explored
explored-640,0.2757076834199885,18,explored
explored-641,0.3268251733102254,23,explored
explored-642,0.39299959079530145,23,explored
explored-643,0.3454108896591567,14,explored
explored-644,0.6285263816676295,8,explored
explored-645,0.41015549778548066,11,explored
explored-646,0.5150250336992106,9,explored
explored-647,0.4772891392258811,12,explored
explored-648,0.30688647377880496,22,explored
explored-649,0.46853336221837094,11,explored
explored-650,0.6857398180242635,13,explored
explored-651,0.24106008087810538,19,explored
explored-652,0.45236977662237643,15,explored
explored-653,0.3498720232364081,12,explored
explored-654,0.359570575775082,15,explored
explored-655,0.3318589928750242,10,explored
explored-656,0.25932344823159403,19,explored
explored-657,0.6195298960138649,11,explored
explored-658,0.12949523396880425,11,explored
explored-659,0.3565015405353361,17,explored
explored-660,0.22176086398356787,13,explored
explored-661,0.32631366743693446,24,explored
explored-662,0.493584555789387,61,explored
explored-663,0.5228714134411708,38,explored
explored-664,0.3085242955260288,14,explored
explored-665,0.4883978432505297,10,explored
explored-666,0.2801246870787599,12,explored
explored-667,0.4263190833814752,6,explored
explored-668,0.1769328904294244,15,explored
explored-669,0.21363594421978327,18,explored
explored-670,0.4759459849797806,5,explored
explored-671,0.26473136915078,24,explored
explored-672,0.28018486424032374,23,explored
explored-673,0.21036732139418457,22,explored
explored-674,0.30065713460427523,17,explored
explored-675,0.40281990179087246,14,explored
explored-676,0.2550789524359717,23,explored
explored-677,0.23655040439052588,22,explored
explored-678,0.3746581937223187,21,explored
explored-679,0.2775491045638361,15,explored
explored-680,0.43044121894858467,13,explored
explored-681,0.3454730727261057,13,explored
explored-682,0.179421216060081,18,explored
explored-683,0.16880897361833258,21,explored
explored-684,0.5114561268374094,13,explored
explored-685,0.04222631426920875,16,explored
explored-686,0.34565159830541137,6,explored
explored-687,0.42511925107516535,35,explored
explored-688,0.2887500802362156,22,explored
explored-689,0.3131097952371784,13,explored
explored-690,0.3116966348931255,27,explored
explored-691,0.29888792605430403,11,explored
explored-692,0.48997591767305826,33,explored
explored-693,0.46938787791257475,43,explored
explored-694,0.5276213171577123,18,explored
explored-695,0.36232668977469684,9,explored
explored-696,0.3664608607741191,12,explored
explored-697,0.5044410745233969,10,explored
explored-698,0.4769100231080301,10,explored
explored-699,0.42900298478721377,15,explored
explored-700,0.2709135695487517,17,explored
explored-701,0.49298334296167934,14,explored
explored-702,0.19412550548815732,18,explored
explored-703,0.4827502166377817,15,explored
explored-704,0.41404896013864834,12,explored
explored-705,0.4299255006739843,15,explored
explored-706,0.48614481032158696,12,explored
explored-707,0.26415366839976906,12,explored
explored-708,0.2513740451890367,18,explored
explored-709,0.28969285576737924,17,explored
explored-710,0.3556590602734452,21,explored
explored-711,0.1928076256499135,19,explored
explored-712,0.5462569805507416,9,explored
explored-713,0.4515834617112783,19,explored
explored-714,0.37900479010206056,24,explored
explored-715,0.19286178509532093,28,explored
explored-716,0.630018775274408,9,explored
explored-717,0.34797443674176787,12,explored
explored-718,0.4000036106296939,20,explored
explored-719,0.3319974003466206,9,explored
explored-720,0.4856106377174403,16,explored
explored-721,0.42994656268053155,24,explored
explored-722,0.3488590410167536,10,explored
explored-723,0.4385189999358112,23,explored
explored-724,0.3710047379485206,21,explored
explored-725,0.36963219718852314,9,explored
explored-726,0.4695607869568009,9,explored
explored-727,0.5246706303357085,7,explored
explored-728,0.42600616214134424,7,explored
explored-729,0.2430946707105721,37,explored
explored-730,0.24055820335066447,13,explored
explored-731,0.14624855574812257,23,explored
explored-732,0.33912237627575603,10,explored
explored-733,0.42698223570190663,22,explored
explored-734,0.3039247544771808,18,explored
